participant,Friendly,Respectful,Sympathy,CloseFeelings,Proud,Superior,Selfesteem,Topworld,Guilty,Indebted,Afraid,Ashamed,Disappointed,Frustrated,Angry,Sad,Trustworthy,Fair,Selfish,Cooperative,Competitive,Understanding,Caring,Envious,Altruistic,Empathetic,Trustworthy_others,Fair_others,Selfish_others,Cooperative_others,Competitive_others,Understanding_others,Caring_others,Envious_others,Altruistic_others,Empathetic_others,feel_others_behave,feel_others_influence,feel_others_reciprocity
sqxbnbyh,0.0,5.0,0.0,3.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0
cwsiv088,4.0,5.0,0.0,3.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0
npx5kdo1,2.0,5.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,4.0,5.0,3.0,0.0,5.0,4.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,2.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,5.0
hcqlfr80,2.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,3.0,5.0,0.0,5.0
5x48cft9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,4.0,0.0,2.0,3.0,1.0,4.0,2.0,3.0,4.0,2.0,3.0,3.0,1.0,2.0,4.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0
y34k2058,3.0,5.0,3.0,1.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,3.0,2.0,1.0,4.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
e5dslszu,5.0,5.0,3.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,5.0,4.0,2.0,3.0,3.0,5.0,5.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,5.0,1.0,4.0,4.0,4.0,0.0,3.0
sio5egs8,4.0,3.0,3.0,1.0,1.0,2.0,2.0,0.0,1.0,5.0,3.0,4.0,5.0,3.0,0.0,1.0,3.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,0.0,3.0,4.0,4.0,4.0,4.0
kk2dnst3,4.0,4.0,4.0,2.0,4.0,3.0,2.0,3.0,0.0,3.0,2.0,1.0,4.0,2.0,1.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0
qfez504n,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
kctcznuh,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0,5.0,2.0,0.0,3.0,1.0,5.0,0.0,2.0,4.0,4.0,0.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0
hak3hyfb,4.0,4.0,3.0,1.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qigbyucs,4.0,4.0,4.0,4.0,0.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,5.0,4.0,3.0,0.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,4.0,0.0,2.0
cfqkk44n,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,3.0,1.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,1.0
g6rlpsqd,4.0,4.0,4.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,2.0
7ikvrizf,4.0,5.0,4.0,5.0,4.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,4.0,1.0,4.0,1.0,3.0,5.0,0.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,1.0,3.0,3.0,2.0,0.0,1.0
hj0tje14,3.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,3.0,2.0,0.0,3.0,2.0,1.0,0.0,4.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
hlsg0w3o,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,3.0,0.0,4.0,0.0,4.0,4.0,0.0,3.0,3.0,4.0,5.0,0.0,5.0,0.0,3.0,5.0,0.0,5.0,3.0,4.0,0.0,5.0
kcnkfe53,5.0,5.0,5.0,5.0,3.0,2.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,2.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,2.0,1.0,5.0,1.0,5.0,2.0,5.0,4.0,0.0,5.0,4.0,1.0,2.0
